Designator,Mid X,Mid Y,Rotation,Layer
C1,49.37,33.09,90.0,top
C10,86.55,20.92,270.0,top
C11,79.83,25.7,180.0,top
C12,85.77,25.35,270.0,top
C13,84.905,16.97,0.0,top
C14,91.68,27.75,180.0,top
C15,89.2,25.31,90.0,top
C16,87.39,25.31,90.0,top
C17,81.985,5.845,270.0,top
C18,86.685,5.72,270.0,top
C19,60.12,16.18,270.0,top
C2,117.5,49.51,270.0,top
C20,71.5,16.75,270.0,top
C21,107.79,15.194092,270.0,top
C22,116.99,15.1,270.0,top
C23,100.55,15.03,0.0,top
C24,60.936,44.7975,90.0,top
C25,54.556,44.6575,90.0,top
C26,93.70012,15.111751,270.0,top
C27,104.425,25.66,90.0,top
C28,110.575,26.47,90.0,top
C29,117.1,20.92,90.0,top
C3,59.05,29.82,180.0,top
C30,110.88,20.22,90.0,top
C300,38.8325,39.4675,270.0,top
C303,35.83,34.81,180.0,top
C31,29.43,41.21,270.0,top
C32,93.68,25.22,90.0,top
C33,62.57,39.99,270.0,top
C34,49.27,42.98,0.0,top
C35,89.99,46.99,90.0,top
C36,83.21,42.66,90.0,top
C37,78.84,47.4725,270.0,top
C38,83.42,47.9625,270.0,top
C39,81.21,47.3825,270.0,top
C4,46.6,34.36,0.0,top
C40,46.74,39.7775,0.0,top
C5,46.53,32.57,0.0,top
C6,35.77,32.9,180.0,top
C7,75.4,21.55,180.0,top
C8,75.41,19.95,180.0,top
C9,78.93,16.5,0.0,top
J1,98.74,19.64,90.0,top
J12,60.06,26.955,270.0,top
J2,98.74,22.89,90.0,top
J3,41.13,47.51,270.0,top
J4,29.69,3.125,0.0,top
J5,58.09,5.41,0.0,bottom
J6,84.56,1.92,90.0,top
J7,103.74,5.41,0.0,bottom
J8,22.43,7.85,0.0,top
L11,86.72,49.19,180.0,top
L3,35.9525,40.5375,180.0,top
R1,19.98,8.07,90.0,top
R10,59.24,19.09,180.0,top
R11,70.36,19.67,180.0,top
R12,75.27,23.97,0.0,top
R13,110.56,15.194092,270.0,top
R14,57.89,16.15,90.0,top
R15,69.3,16.79,90.0,top
R16,96.86012,15.011751,270.0,top
R17,34.52,11.59,90.0,top
R18,22.44,13.3,180.0,top
R2,76.22,32.13,0.0,top
R25,90.98,42.04,180.0,top
R26,91.86,44.34,180.0,top
R27,88.25,41.06,270.0,top
R3,76.22,30.51,0.0,top
R4,31.8625,33.4375,90.0,top
R5,31.7825,37.0175,90.0,top
R6,76.2,36.98,0.0,top
R7,76.22,35.38,0.0,top
R8,76.24,33.75,0.0,top
R9,89.77,22.85,180.0,top
TP1,104.85,15.79,0.0,top
TP11,84.62,28.32,0.0,top
TP12,76.45,27.7,0.0,top
TP13,71.37,27.7,0.0,top
TP14,75.4,4.97,0.0,top
TP2,90.7,15.34,0.0,top
TP3,59.99,22.34,0.0,top
TP4,70.33,23.15,0.0,top
TP5,75.4,2.43,0.0,top
TP6,77.94,2.43,0.0,top
TP7,77.94,4.97,0.0,top
TP8,75.4,7.51,0.0,top
U1,55.43,36.61,180.0,top
U112,35.8225,37.6175,180.0,top
U2,123.63,50.28,180.0,bottom
U3,107.225,25.58,0.0,top
U4,113.86,20.22,0.0,top
U5,81.26,21.5225,0.0,top
U6,29.8775,10.41,270.0,top
U7,33.25,30.65,180.0,top
U8,91.23,25.37,270.0,top
V11,86.75285,44.67,180.0,top
V12,46.85076,36.9275,270.0,top
X10,57.726,45.1275,0.0,top
